CVE_DOC,CVE_ART,COSTO_UNITARIO,COSTO_TOTAL_CALCULADO
F37363,RP00177,0.0,143.11
F37367,TUS00111,0.0,85.71
F37370,TUE00148,0.0,337.19
F37372,TU5/16X230MM,0.0,226.23
F37375,TP0002,51.36,102.71
F37376,PT00057,98.64,789.1
F37378,PT00082,1214.3,2428.6
F37381,TU5/16X203V,0.0,2606.27
F37386,TUE00081,431.83,863.66
F37389,TP0011,124.0,124.0
F37394,TUA00280,175.18,175.18
F37395,RP00178,12.4,12.4
F37401,BO00053,0.0,5346.0
F37403,P7J6C1D1A030,36.53,73.06
F37409,TEA00092,672.74,7400.14
F37409,TEA00093,1190.42,7142.54
F37414,PK14C1D1G300,0.0,280.17
F37415,TT00007,0.0,379.5
F37415,TT00008,0.0,693.49
F37417,TU5/16X203V240W,112.61,225.21
F37418,TEA00023,0.0,4592.74
F37422,TP0001,38.96,77.92
F37425,TU5/16X870J127V,227.18,227.18
F37426,TEA00096,0.0,773.91
F37429,TUA00025,304.25,1825.52
F37430,TP0015,173.0,865.0
F37433,RP00175,29.9,29.9
F37434,TP0016,222.0,222.0
F37435,TUS00112,0.0,949.4
F37436,TUA00403,378.69,757.39
F37437,BB1 1/2X1/2-300W,220.0,220.0
F37442,BB1 1/2X1/2-300W,0.0,253.0
F37442,TP0025,0.0,98.63
F37443,TUE00146,0.0,9156.17
F37444,BE00011,37.66,75.32
F37444,BE00012,44.54,89.08
F37444,BE00013,48.09,96.18
F37444,BE00015,51.09,102.18
F37444,BN00243,141.49,282.98
F37444,BN00244,201.21,402.41
F37444,BN00245,188.85,377.7
F37444,BN00246,297.2,594.4
F37444,BP00249,30.17,211.19
F37445,PJ140FD1A000,54.82,109.64
F37447,TUE00179,0.0,374.62
F37449,RC00025,0.0,732.84
F37450,CS58H1060A00,112.8,225.59
F37451,CS58H1060A00,112.8,225.59
F37455,TU5/16X870J127V,0.0,227.18
F37458,CBS00101,0.0,1281.35
F37464,TUA00427,0.0,2214.39
F37465,TEA00006,101.99,1019.92
F37467,TEE00017,0.0,2409.43
F37468,CS12J2025A00,0.0,74.08
F37469,TUE00207,1179.22,1179.22
F37470,TUE00207,1179.22,1179.22
F37471,TUE00207,1179.22,1179.22
F37472,TUE00207,1179.22,1179.22
F37473,TUE00207,1179.22,1179.22
F37474,TUE00332,338.28,676.56
F37475,TP0009,160.14,320.27
F37475,TP0010,106.55,213.1
F37475,TP0040,137.48,274.96
F37480,TEA00006,119.05,595.24
F37481,CBS00056,0.0,500.47
F37482,70001694,127.62,1276.19
F37483,70001698,120.29,962.29
F37484,70001692,113.69,795.85
F37485,70001690,161.1,1288.78
F37486,70001684,131.71,395.14
F37487,P214F1AB0600,0.0,1839.19
F37490,CS12F1040A00,88.95,355.8
F37491,TUE00339,7342.41,7342.41
F37492,BP00206,0.0,881.41
F37493,ECQ-00972,339.43,10182.84
F37495,TUE00075,29.29,117.15
F37498,CS12G1040A00,90.42,180.83
F37499,TUS00113,0.0,139.11
F37500,TUE00176,0.0,470.09
F37502,PJ14F1L1A800,0.0,747.38
F37509,TUE00132,0.0,559.98
F37509,TUS00005,0.0,535.46
F37513,TUE00338,0.0,139.69
F37514,TUE00337,173.44,520.33
F37515,TUS00029,0.0,144.69
F37516,BB00017,0.0,208.27
F37516,BB00018,0.0,688.35
F37516,BN00002,0.0,375.4
F37516,BN00003,0.0,415.77
F37517,BL00038,0.0,1203.29
F37517,PJ31Q1G3A100,236.98,710.93
F37518,TUA00426,0.0,1349.52
F37519,PK14G1D1G300,0.0,175.18
F37521,TUE00075,0.0,175.24
F37522,TUE00198,33.9,135.61
F37525,BC00026,688.31,688.31
F37530,TUE00307,236.68,946.71
F37530,TUE00308,210.46,841.84
F37531,PT00082,1214.3,2428.6
F37535,BS00006,918.12,5508.73
F37535,BS00008,0.0,6802.89
F37538,BB2X2ST,220.0,220.0
F37539,RP00181,0.0,41.26
F37540,TUE00337,173.44,520.33
F37541,TK00028,78.24,156.48
F37543,TP0008,211.36,211.36
F37543,TP0040,137.48,137.48
F37544,TUA00428,0.0,134.94
F37545,TUA00143,235.81,3537.11
F37547,TUA00102,370.94,370.94
F37553,P7J6C1D1A030,0.0,73.06
F37555,TUA00431,0.0,539.17
F37556,TP0005,87.1,348.39
F37559,TUE00007,435.26,435.26
F37562,CS38F1010A00,67.47,269.88
F37564,WRE-2137,122.14,610.68
F37565,BN00242,152.37,304.73
F37573,TUE00343,0.0,3857.05
F37578,BO00056,216.65,216.65
F37579,TEE00017,1246.35,4985.4
F37580,TP0011,143.8,143.8
F37582,TU5/16X203V,326.23,3262.29
F37584,TU5/16X230MM,212.44,212.44
F37585,TUE00341,317.3,317.3
F37586,TUE00341,317.3,317.3
F37589,TUA00430,269.6,808.8
F37594,CS14D2017B20,0.0,222.14
F37602,TP0005,87.1,87.1
F37603,TEA00006,119.05,2380.95
F37604,TUE00042,1666.85,8334.25
F37605,TP0011,143.8,719.0
F37606,RM00017,2644.78,2644.78
F37607,TUA00134,303.31,1819.85
F37608,PT00063,673.14,1346.28
F37610,TUA00432,0.0,1783.73
F37612,BB1 1/2X1/2-300W,220.0,440.0
F37612,TP0001,38.96,77.92
F37615,TUA00371,417.45,417.45
F37620,CAS00075,261.77,2617.65
F37620,CAS00076,0.0,5266.17
F37622,BB1 1/2X1/2-300W,220.0,220.0
F37624,TUA00175,377.29,1509.17
F37625,TUA00241,145.03,1305.27
F37626,TU5/16X230MM,212.44,212.44
F37628,TUA00222,358.0,716.01
F37629,TUE00333,97.81,195.77
F37633,TUA00421,525.52,2102.1
F37637,TUE00103,248.65,497.3
F37639,TP0012,44.14,220.69
F37642,BB1 1/2X1/2-300W,220.0,220.0
F37644,TUE00340,281.63,563.27
F37646,BS00011,0.0,153.86
F37649,TUA00124,541.44,1082.88
F37652,TUS00115,0.0,420.72
F37655,BL00022,112.11,112.11
F37656,PT00047,0.0,4880.41
F37658,ECQ-01444,761.07,1522.13
F37662,TP0010,106.55,426.19
F37664,TUA00429,626.37,1252.74
F37665,TP0011,143.8,287.6
F37667,TUA00419,327.61,327.61
F37672,BE00016,0.0,60.56
F37673,BL00054,174.73,349.45
F37674,BO00058,300.96,1805.76
F37676,TUE00207,1179.22,1179.22
F37677,TUA00422,319.43,319.43
F37678,TUA00422,319.43,319.43
F37679,TUA00424,417.02,417.02
F37680,TUA00424,417.02,417.02
F37685,BP00089,66.08,264.34
F37687,TU5/16X230MM,212.44,212.44
F37688,P114I1D4A000,98.65,197.3
F37692,BP00257,64.98,389.9
F37692,TP0001,38.96,77.92
F37693,TP0002,51.36,102.71
F37695,TP0001,38.96,77.92
F37697,RP00165,5211.65,5211.65
F37698,TP0016,222.0,222.0
F37699,TU5/16X230MM,200.3,400.6
F37700,TP0005,87.1,870.97
F37701,TUA00433,0.0,3102.37
F37702,CBE00028,0.0,752.71
F37702,TK00034,519.02,519.02
F37703,BP00259,0.0,89.76
F37703,BP00260,0.0,72.34
F37708,TUA00200,1282.76,5131.02
F37710,TUE00161,116.97,233.93
F37711,RP00182,0.0,2448.37
F37713,TUA00099,0.0,3820.84
F37714,PA00001,0.0,6978.64
F37717,TR51G1125A00,97.0,97.0
F37718,CS12E2040A00,71.53,286.12
F37718,CS12F2040A00,88.34,353.34
F37719,TK00063,228.89,686.66
F37722,BL00001,0.0,50.94
F37722,BP00258,0.0,45.28
F37724,EE00003,0.0,14.76
F37728,BOE00012,1137.06,6822.37
F37728,BOE00013,698.18,6981.76
F37730,TP0008,211.36,211.36
F37730,TP0022,410.21,410.21
F37731,TP0001,38.96,38.96
F37734,BO00005,0.0,3120.88
F37736,TP0003,0.0,2215.69
F37737,TP0003,71.25,142.5
F37740,TEA00016,0.0,1420.68
F37742,RP00184,102.22,102.22
F37743,TEA00017,0.0,1506.97
F37746,BN00248,97.46,779.66
F37746,BN00249,172.28,344.57
F37746,BN00250,155.02,310.03
F37746,BN00251,177.36,177.36
F37750,BP00149,216.46,649.37
F37750,BP00150,213.66,854.65
F37751,BE00011,37.66,75.32
F37751,BE00012,44.54,89.08
F37751,BE00013,48.09,96.18
F37751,BE00015,51.09,102.18
F37752,TP0003,72.37,72.37
F37753,BB1 1/2X1/2-300W,220.0,220.0
F37755,TUS00116,64.91,64.91
F37756,TUS00118,258.43,258.43
F37757,TP0015,173.0,173.0
F37758,TUE00319,0.0,12855.68
F37760,151.7208,391.24,782.48
F37761,TUA00096,116.73,116.73
F37764,TP0024,48.49,145.47
F37770,TP0022,410.21,410.21
F37772,TUE00025,316.4,316.4
F37774,MA00016,6.69,6.69
F37775,RP00180,24.0,24.0
F37776,RP00171,258.21,258.21
F37777,BOBINA001,340.8,20448.01
F37785,BB1 1/2X1/2-300W,220.0,220.0
F37787,TUA00219,0.0,5369.65
F37788,TUS00020,0.0,323.44
F37791,TUA00434,244.91,244.91
F37802,CS12F1040A00,88.95,533.7
F37802,CS12H1050A00,91.21,547.28
F37803,ECQ-00972,366.1,9152.38
F37803,ECQ-01444,736.48,736.48
F37804,ECQ-00972,356.75,3567.53
F37804,ECQ-01444,0.0,2373.3
F37805,TP00019,0.0,4249.74
F37807,TUE00162,0.0,1034.72
F37808,TUE00348,0.0,1221.53
F37813,TUE00105,0.0,1306.63
F37814,TUS00035,88.74,266.21
F37817,GAB00014,0.0,1516.24
F37817,TUA00376,2935.26,5870.53
F37818,TP0040,137.48,137.48
F37824,TP0001,42.79,42.79
F37827,BP00251,112.24,112.24
F37827,BP00252,111.07,111.07
F37827,BP00253,112.24,112.24
F37827,BP00254,59.54,59.54
F37827,BP00255,110.37,110.37
F37827,BP00256,110.37,110.37
F37829,RP00187,90.16,90.16
F37830,TUS00002,106.52,319.57
F37831,TUS00001,0.0,633.46
F37832,TUE00081,359.16,359.16
F37834,TUA00175,377.29,1509.17
F37835,TUS00117,0.0,165.15
F37836,BC00010,360.32,720.65
F37841,RP00150,0.36,0.72
F37842,BB1 1/2X1/2-300W,220.0,220.0
F37843,MR01934,0.0,646.92
F37844,BN00064,0.0,94.49
F37845,TP0026,113.59,113.59
F37852,TUS00017,0.0,459.5
F37852,TUS00018,0.0,295.92
F37853,TP0002,51.36,51.36
F37854,E1041959,0.0,5083.38
F37858,BC00006,0.0,4563.71
F37858,P231A1D6K200,0.0,1257.53
F37860,65014-38,0.0,735.34
F37863,TUA00435,0.0,1511.46
F37866,CM10E2050A00,0.0,70.86
F37872,TUA00420,0.0,3660.03
F37876,EE00026,0.0,94.84
F37876,TU5/16X203V,321.87,321.87
F37878,TP0011,144.4,288.8
F37878,TP0012,50.54,50.54
F37880,TUA00017,0.0,1229.62
F37882,TJ00046,204.07,204.07
F37882,TP0024,48.49,48.49
